"Obs_NM","DA_Obs","SRC_obs","Use_region","Gauge_nm","data_tp","Lat","Lon","HYD_STATUS"
01A001BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.41675164,-70.05656355,<NA>
01A002BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.42170431,-70.05537474,<NA>
01A003BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.42529258,-70.0545558,<NA>
01A004BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.47113205,-70.04519865,<NA>
01A005BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.53292828,-70.03201656,<NA>
01A006BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.5916294,-70.01933181,<NA>
01A007BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.62239015,-70.01278451,<NA>
01A008BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.68687992,-69.99876996,<NA>
01A009BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.72594897,-69.96675244,<NA>
01A010BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.80723159,-69.88594383,<NA>
01A010BORDER1,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.82898294,-69.86432229,<NA>
01A011BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.84946957,-69.84342125,<NA>
01A012BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.86734397,-69.82572549,<NA>
01A013BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.89911373,-69.79390252,<NA>
01A014BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.91120521,-69.78169221,<NA>
01A015BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.92816249,-69.76490605,<NA>
01A016BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.96517116,-69.7277636,<NA>
01A017BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.98482181,-69.70806227,<NA>
01A018BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.9998556,-69.69277994,<NA>
01A019BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.00652172,-69.68627568,<NA>
01A020BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.00987641,-69.68258626,<NA>
01A021BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.03682866,-69.6555232,<NA>
01A022BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.04003455,-69.65234093,<NA>
01A023BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.06762551,-69.62443076,<NA>
01A024BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.10136173,-69.59025671,<NA>
01A025BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.14468721,-69.54644427,<NA>
01A026BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.21707002,-69.4726772,<NA>
01A027BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.23356117,-69.45633377,<NA>
01A028BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.27835477,-69.41048205,<NA>
01A029BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.29702472,-69.39148481,<NA>
01A030BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.31928021,-69.36858337,<NA>
01A031BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.3385865,-69.34873172,<NA>
01A032BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.44342096,-69.24152237,<NA>
01A033BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.44356594,-69.24100484,<NA>
01A034BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.44381626,-69.24085155,<NA>
01A035BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.44406659,-69.24069826,<NA>
01A036BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.44406659,-69.24069826,<NA>
01A037BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.03121189,-67.79011684,<NA>
01A038BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,47.01588818,-67.78967768,<NA>
01A039BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.95928299,-67.78961955,<NA>
01A040BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.87794829,-67.78958318,<NA>
01A041BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.85347486,-67.78944568,<NA>
01A042BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.79477042,-67.78943274,<NA>
01A043BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.73423184,-67.78930578,<NA>
01A044BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.88051662,-67.78922004,<NA>
01A045BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.69720131,-67.78908145,<NA>
01A046BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.60120639,-67.78813654,<NA>
01A047BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.5672291,-67.78723668,<NA>
01A048BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.54920236,-67.78680953,<NA>
01A049BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.49973485,-67.78599015,<NA>
01A050BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.44918062,-67.78458604,<NA>
01A051BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.31971998,-67.78280084,<NA>
01A052BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.32777109,-67.78278001,<NA>
01A053BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.30533233,-67.78260309,<NA>
01A054BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.29631194,-67.78239153,<NA>
01A055BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.27777276,-67.78228306,<NA>
01A056BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.2839985,-67.78214947,<NA>
01A057BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.26814279,-67.78203413,<NA>
01A058BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.27351105,-67.78202017,<NA>
01A059BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.27619516,-67.78201319,<NA>
01A060BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.22654901,-67.78171212,<NA>
01A061BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.15663351,-67.78154257,<NA>
01A062BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.09658735,-67.78146475,<NA>
01A063BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,45.96632484,-67.7813749,<NA>
01A064BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,45.98537981,-67.78116983,<NA>
01A065BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, NB",<NA>,46.02091145,-67.78111629,<NA>
02O001BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99422959,-74.38441982,<NA>
02O002BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99301393,-74.35807061,<NA>
02O003BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99231547,-74.34216672,<NA>
02O004BORDER,-1,BORDER,1,"Ungauged point of interest at US-Canada border, QC",<NA>,44.99233014,-74.26300128,<NA>
